         4535 function calls (4405 primitive calls) in 0.072 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
        2    0.000    0.000    0.000    0.000 transaction.py:139(__init__)
        1    0.000    0.000    0.000    0.000 related.py:1616(related_fields)
        1    0.000    0.000    0.000    0.000 compiler.py:20(SQLCompiler)
        1    0.000    0.000    0.000    0.000 __init__.py:1118(to_python)
        1    0.000    0.000    0.000    0.000 validators.py:323(<lambda>)
        1    0.000    0.000    0.000    0.000 compiler.py:759(deferred_to_columns)
        1    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
        1    0.000    0.000    0.000    0.000 validators.py:312(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:686(get_prep_value)
        3    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
        1    0.000    0.000    0.000    0.000 query.py:2107(add_votes)
        2    0.000    0.000    0.000    0.000 {zip}
        1    0.000    0.000    0.000    0.000 encoding.py:126(force_bytes)
        2    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 fields.py:137(validate)
        2    0.000    0.000    0.000    0.000 options.py:505(get_field)
        1    0.000    0.000    0.000    0.000 sre_compile.py:207(_optimize_charset)
        2    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
        2    0.000    0.000    0.000    0.000 copy.py:113(_copy_with_constructor)
        2    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
        1    0.000    0.000    0.000    0.000 operations.py:62(lookup_cast)
        2    0.000    0.000    0.000    0.000 {psycopg2._psycopg.register_type}
